packet,sequence,packet_time_utc,block,channel,return,azimuth_deg,elevation_deg,distance_m,reflectivity,firing_time_offset_us,x,y,z
1,39614,2025-06-10 16:36:59.923581+00:00,3,15,strongest,117.4440096,-13.0,0.516,1,48.336,0.4461934837636927,-0.23171972044376124,-0.11607474404143435
1,39614,2025-06-10 16:36:59.923581+00:00,3,16,strongest,117.45489599999999,-15.0,0.532,0,51.36,0.4559971581522266,-0.23692103895061062,-0.13769173199454104
1,39614,2025-06-10 16:36:59.923581+00:00,4,11,strongest,117.580464,-5.0,0.504,1,36.24,0.44502626625434927,-0.23246093314423308,-0.04392649434481972
1,39614,2025-06-10 16:36:59.923581+00:00,4,12,strongest,117.5913504,-7.0,0.52,1,39.264,0.4574270281389997,-0.2390491500098619,-0.0633720585706767
1,39614,2025-06-10 16:36:59.923581+00:00,4,13,strongest,117.6022368,-9.0,0.508,0,42.288,0.44463973949982305,-0.23247414150422355,-0.07946870824043728
1,39614,2025-06-10 16:36:59.923581+00:00,4,14,strongest,117.6131232,-11.0,0.532,1,45.312,0.4627428224939375,-0.2420510728292678,-0.10151038554032184
1,39614,2025-06-10 16:36:59.923581+00:00,4,15,strongest,117.62400960000001,-13.0,0.516,1,48.336,0.44546331411494056,-0.2331203328185883,-0.11607474404143435
1,39614,2025-06-10 16:36:59.923581+00:00,4,16,strongest,117.634896,-15.0,0.532,0,51.36,0.455250599727189,-0.23835242475875562,-0.13769173199454104
1,39614,2025-06-10 16:36:59.923581+00:00,5,11,strongest,117.760464,-5.0,0.5,1,36.24,0.44076763271928143,-0.23200186006488535,-0.04357787137382908
1,39614,2025-06-10 16:36:59.923581+00:00,5,12,strongest,117.77135039999999,-7.0,0.5,1,39.264,0.4391094009718944,-0.23123559363256257,-0.06093467170257374
1,39614,2025-06-10 16:36:59.923581+00:00,5,13,strongest,117.78223679999999,-9.0,0.536,0,42.288,0.4683745338329829,-0.24676033414935677,-0.08384887326156375
1,39614,2025-06-10 16:36:59.923581+00:00,5,14,strongest,117.7931232,-11.0,0.524,1,45.312,0.4550330449417491,-0.23984191676353242,-0.09998391357730949
1,39614,2025-06-10 16:36:59.923581+00:00,5,15,strongest,117.8040096,-13.0,0.512,1,48.336,0.4412812382492961,-0.23270067040232695,-0.11517493982405888
1,39614,2025-06-10 16:36:59.923581+00:00,5,16,strongest,117.81489599999999,-15.0,0.54,0,51.36,0.46133412783414124,-0.24338719433709627,-0.1397622843553612
1,39614,2025-06-10 16:36:59.923581+00:00,6,11,strongest,117.940464,-5.0,0.504,1,36.24,0.44355689630754347,-0.23525250866376252,-0.04392649434481972
1,39614,2025-06-10 16:36:59.923581+00:00,6,12,strongest,117.9513504,-7.0,0.516,1,39.264,0.45240897239906097,-0.24005759963078982,-0.0628845811970561
1,39614,2025-06-10 16:36:59.923581+00:00,6,13,strongest,117.9622368,-9.0,0.512,0,42.288,0.44665982406823024,-0.2371157549956899,-0.08009444610059821
1,39614,2025-06-10 16:36:59.923581+00:00,6,14,strongest,117.9731232,-11.0,0.52,1,45.312,0.450809549317252,-0.2394285016070681,-0.0992206775958033
1,39614,2025-06-10 16:36:59.923581+00:00,6,15,strongest,117.98400960000001,-13.0,0.508,1,48.336,0.4371062297646404,-0.23225705001789612,-0.11427513560668343
1,39614,2025-06-10 16:36:59.923581+00:00,6,16,strongest,117.994896,-15.0,0.54,0,51.36,0.46056722907939157,-0.24483531479323492,-0.1397622843553612
1,39614,2025-06-10 16:36:59.923581+00:00,7,11,strongest,118.12046400000001,-5.0,0.504,1,36.24,0.44281564110655597,-0.23664482053483518,-0.04392649434481972
